id,prompt,category,image_path
632,A hat hanging on a hook to the left of a door.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/632.png
688,A runner leaping over a hurdle on a track field.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/688.png
105,The sky teems with more birds than the number of fish visible in the lake below.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/105.png
60,A pilot with aviator sunglasses.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/60.png
1298,a shoe rack without any red pairs of shoes on it.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1298.png
872,Two great white sharks circling a green fish.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/872.png
201,A person with short hair is crying while a person with long hair is not.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/201.png
906,"Under the bench, there are four pairs of sneakers: one pair is red, two pairs are green, and the last pair is white.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/906.png
628,A chair positioned to the right of a table.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/628.png
1097,A spherical balloon floating above a square table.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1097.png
393,A large pizza with pepperoni on the left half and mushrooms on the right half.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/393.png
601,a pair of ballet shoes hanging by their ribbons.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/601.png
1047,The golden light of dawn casts shadows across a woolen rug where a loyal dog patiently waits for its owner.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1047.png
1065, A colorful parrot flies out of an open window with a silk-textured scarf in its beak.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1065.png
768,A Magnolia tree being climbed by a child as petals fall gently.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/768.png
1234,Five scared monkeys.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1234.png
1145,A homemade jam jar with 'Spread the Love' on its label.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1145.png
772,"A Bullfrog croaking loudly by a pond, startling a nearby cat.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/772.png
795,"A sprawling vineyard at harvest time, the vines heavy with clusters of ripe grapes.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/795.png
594,a circle of robots doing yoga in a garden.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/594.png
1265,"In a room, there is only a table, but no chairs.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1265.png
1541,It's raining outside the house and a mother is instructing her two children in their studies; the child without a hat is more frustrated than the one with a hat.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1541.png
854,A man wearing glasses and a blue jacket holding three different colored balloons.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/854.png
930,A small cactus with six bright pink flowers on a sunny windowsill.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/930.png
1187,"A grand gateway leading into a luxurious estate, flanked by towering trees.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1187.png
672,"A dragon's lair deep within a volcano, 'Beware of Fire' written in ember-like script on the cavern walls, treasure piled high.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/672.png
445,"A ball with no bounce, lying still.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/445.png
477,"A basket full of apples, but no oranges.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/477.png
1204,A man stands in front of a small dog and blocks a flying football.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1204.png
313,A sculptor chiseling a piece of marble.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/313.png
945,"Two LED table lamps on a table, the illuminated one closer to the edge of the table than the one not illuminated.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/945.png
1529,"Five kids running through the grass, none of them wearing shoes.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1529.png
1507,An ice cream vendor in a striped apron hands a cone to another delighted vendor in a wide-brimmed hat.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1507.png
403,"A plush velvet armchair in the corner of a library, with a sleek leather sofa along the opposite wall.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/403.png
590,a set of enchanted books floating above an ancient oak desk.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/590.png
887,A vase with five purple roses on a kitchen table.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/887.png
874,"In the forest, there's a pack of wolves, all of them gray.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/874.png
449,A beach without any footprints in the sand.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/449.png
77,A white sailboat drifting towards the left on a calm lake.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/77.png
817,A boy in a vivid orange hoodie and black basketball shorts kisses a girl in a sky-blue tutu and glittery flats.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/817.png
1515,A boy looks at an aquarium with no fish.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1515.png
1485,A cartoon puppy with sunglasses and no necklace is singing into a microphone while another cartoon puppy with a hat and no sunglasses scores on a scoreboard.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1485.png
385,A big green apple next to a small red apple on a kitchen counter.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/385.png
355,"Inside the camp, a fire crackles, casting shadows on the tent walls, with backpacks and maps spread out.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/355.png
1201,A spider is on the left of a crystal ball.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1201.png
593,a dachshund in a tuxedo playing a miniature grand piano.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/593.png
215,"A cat sleeps peacefully in a dog's bed, while the dog has no choice but to nap on the floor.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/215.png
1273,A pet store where all the hamster cages are empty.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1273.png
465,"A classroom full of students, but no teacher in sight.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/465.png
838,Four differently colored bicycles are parked next to the school bike rack.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/838.png
918,A little piggy is standing on a green ball with a smaller red ball on top of its head.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/918.png
1353,"A man not riding a motorcycle, standing beside it in a leather jacket and jeans.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1353.png
761,A cat curled up next to a person reading a book by the fireplace.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/761.png
886,Five zebras drinking from a waterhole at dusk.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/886.png
1176,An old windmill overlooking a field of blooming flowers.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1176.png
1327,"On a wooden dining table, both the spoons and plates are made of wood, only the fork is not made of wood.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1327.png
1103,An octagonal window framing a spherical ornament.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1103.png
119,"A fish glides through the air, while a bird plunges underwater.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/119.png
267,"A traditional potter's workshop, where every shelf holds rows of terracotta pots, each imprinted with intricate designs.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/267.png
343,"Kids race their bikes down the hill as their friends cheer from the sidelines, and a kite flutters in the breeze above them.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/343.png
498,A painting where the mountain is depicted as taller than the trees in the foreground.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/498.png
1195,"An avenue during autumn, the ground covered with fallen leaves.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1195.png
697,A basket of freshly baked bread in a warm kitchen.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/697.png
1543,A group of spring breakers all without hats.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1543.png
478,"A row of houses with chimneys, but no smoke coming out.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/478.png
1152,A birdhouse in the garden with 'Tweet Retreat' painted above the entrance.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1152.png
190,"A yellow bird sings, a cat does not sing.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/190.png
1210,A boy climbing a tall tree.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1210.png
1159,"A garden stone engraved with 'Grow, Bloom, Thrive.'",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1159.png
839,"In the autumn, a few kids are chasing leaves in the park, the shortest kid is wearing a red jacket, and everyone else is wearing a gray one.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/839.png
57,A quaint bookshop.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/57.png
1594,A magical hat flies on top of a smaller magical hat.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1594.png
612,"A canvas displays a half-finished portrait, with a cup of rinse water and scattered charcoal pieces nearby.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/612.png
1227,Five frustrated horses.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1227.png
221,"A rustic bakery storefront, the window adorned with a 'Fresh Breads Daily' sign, loaves visible behind the glass.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/221.png
1143,A trail sign in a forest indicating 'Whispering Woods' ahead.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1143.png
846,"Four kids are running down a park path, each holding a balloon.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/846.png
377,"A short sunflower stands tall and faces the sun, while another tall one bends towards the ground.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/377.png
56,A single rose growing through a crack.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/56.png
1498,A woman in a denim apron crafting a latte for a woman in a business suit checking their watch.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1498.png
1487,"A happy looking, squatting policeman is talking to a standing, unhappy looking policeman.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1487.png
19,A magical quill writing tales by itself on an empty scroll.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/19.png
1307,Two rowboats without paddles on the grass in the park.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1307.png
600,a hammock strung between two palm trees on a white sandy beach.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/600.png
578,"a quaint cobblestone street in a European village, lined with cafes and blooming flower boxes.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/578.png
290,A man is pushing a box full of flowers on the floor.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/290.png
1330,"Two people are sitting side by side; the person on the left is laughing, but the one on the right is not.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1330.png
186,A smiling girl with short hair and no glasses.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/186.png
1247,Five canvas bags sit to the right of three woolen hats.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1247.png
1553,A small ant dragging a smaller one along.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1553.png
188,"A bird with no feathers on its head, perched alone.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/188.png
950,Overhead view of a village with solar charging panels on each house.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/950.png
581,a pug dressed as a chef cooking in a miniature kitchen.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/581.png
353,"Tea steams in a cup, next to a closed diary with a pen resting on its cover.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/353.png
923,A little boy with a ping pong paddle looks more excited than a little girl without one.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/923.png
416,Several cups are on a round table and all the cups are incomplete.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/416.png
481,"A snowy hill with children sledding, but no snowman in sight.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/481.png
1340,A dog in a jumping suit with no energy.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1340.png
1221,Three bored squirrels.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1221.png
1317,A sandy beach without any soft towels spread out.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1317.png
563,A sunflower in sunglasses dances in the snow.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/563.png
562,A skateboarder executes a trick over the Great Wall of China.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/562.png
952,A happy little girl holding a watercolour set in her hand and looking at her mother.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/952.png
140,"Four flowers are in full bloom, with two of them by the bench.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/140.png
1480,Three students who are not wearing white are standing in front of four students who are wearing white.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1480.png
631,A cup set to the right of a newspaper.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/631.png
1519,"Three small, non-blue boxes on a large blue box.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1519.png
932,All the sunflowers bloom facing the morning sun in a vibrant garden.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/932.png
679,Gleaming dewdrops on a spider's web.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/679.png
931,A fluffy rabbit nibbling on one of three carrots laid out in front of it.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/931.png
1579,"In a basket, there are many cauliflowers, all green except for the one in the middle, which is yellow.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1579.png
229,"A 'Veggie Patch' sign staked in a garden, lush greens around.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/229.png
715,Wall art depicting a serene landscape hanging above a fireplace.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/715.png
307,A young librarian is shelving books in a cozy library corner.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/307.png
1403,"There's a cat near a sunny window, and it's not curled up napping.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1403.png
1461,A yellow felt box has no metallic blue spheres on the left side and has blue metallic spheres on the right side.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1461.png
1219,Three nervous lizards.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1219.png
904,Five purple umbrellas open in a line.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/904.png
541,A maple tree chef serving maple syrup pancakes at a forest diner with animals as guests.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/541.png
610,"Next to a white daisy, a sunflower stands tall absorbing the sunlight.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/610.png
1214,A rabbit nibbling on a watermelon.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1214.png
1397,Two children are exchanging candies and the little girl has more candies in her hand than the little boy does.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1397.png
1274,An artist's studio with canvases that don't depict any birds or wildlife.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1274.png
1193,"A skyscraper at dawn, the sky painted in shades of pink and orange.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1193.png
877,All emperor penguins are huddling together for warmth.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/877.png
455,A playground with no children playing.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/455.png
615,"On a sunny porch, a green parrot preens itself while a tabby cat naps in a nearby chair.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/615.png
739,An illustrated picture book.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/739.png
395,A vintage analog clock hangs on the wall above a modern digital clock that sits on a desk.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/395.png
1242,Three brick houses.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1242.png
660,"A peaceful lakeside dock, a 'Quiet Zone' sign posted at the entrance.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/660.png
3,A man shaping clay on a wheel in a cluttered workshop.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/3.png
720,A whiteboard in a home office.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/720.png
1035,"A pair of gold earrings resting on a velvet cloth inside a polished, wooden jewelry box.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1035.png
450,A forest where no animals can be seen.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/450.png
1169,"A majestic fountain in the center of a bustling plaza, children playing around.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1169.png
289,A man is hugging a box full of flowers on the floor.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/289.png
32,A dog tunes a violin.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/32.png
684,"In a bustling kitchen, a chef flips a pancake in the air, surrounded by ingredients spread out on the counter.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/684.png
1586,"A pair of sneakers lie by the door, one pristine white and laced neatly, the other scuffed and missing a lace.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1586.png
152,Four disappointed customers and two content sellers.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/152.png
1356,"In a cozy bookstore, a woman is not browsing books.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1356.png
542,"An ancient oak tree hosting a library in its branches, with birds as librarians and squirrels as readers.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/542.png
23,An enchanted broom sweeping in a wizard's lofty chamber.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/23.png
397,"An orange tabby cat lounges on a sunny windowsill, with a grey tabby stretching on the floor below.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/397.png
626,A lamp on the right side of a desk.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/626.png
982,"A pair of sandals left beside the door, with four footprints leading away.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/982.png
1309,a red harp without any strings.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1309.png
1311,A sunny park with no cheerful children playing.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1311.png
949,"A pile of skateboards is stacked together, with the only one not covered in graffiti placed on top.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/949.png
555,"An elephant paints a self-portrait with its trunk in a sunny, open field.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/555.png
996,a black robot is painting as graffiti on a black brick wall.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/996.png
998,A pig wearing sunglasses and sitting astride a motorcycle.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/998.png
869,A solitary African elephant walking across the savannah.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/869.png
240,A gigantic dog that is taller than the tree next to it.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/240.png
1083,A bored squirrel looking out from its tree hole at a group of excited children playing below.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1083.png
500,A kitchen pantry with more types of pasta than sauces.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/500.png
127,A hat is perched on the table and a coat is draped on the chair.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/127.png
1087,A doctor comforting a worried child with a teddy bear.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1087.png
1404,A colorful fish swimming in water with no colorful coral.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1404.png
786,"A serene coastal beach, the sand shimmering under the warm glow of the sunrise.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/786.png
189,"A car, not red, without its front wheels, parked.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/189.png
888,Three metal rubbish bins stand to the left of a wooden table.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/888.png
788,A picture of the riverfront at dawn.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/788.png
873,A clothed grizzly bear is fishing and another one without clothes is swimming in the river.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/873.png
170,The smiling child gives an apple to the frowning child.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/170.png
454,A clock with no hands to tell the time.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/454.png
1341,A cat on the sill isn't happy.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1341.png
999,"Two koalas with beanies and scarves, sipping warm drinks by the campfire.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/999.png
985,a cream colored labradoodle is on the right of a black cat with white ears.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/985.png
1006,Three turtles in sandals slowly strolling along a sandy beach at sunset.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1006.png
992,a young badger delicately sniffing a golden rose.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/992.png
378,"One person in white jogs with a steady pace, one person in red sprints with all their might.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/378.png
111,A forest landscape with more birds in the sky than trees on the ground.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/111.png
1380,A nurse not administering a vaccine to a young child.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1380.png
1122,"A park bench with a small plaque reading 'Sit, Rest, Wonder.'",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1122.png
1073,"A horse dressed in a suit and tie, presenting at a business conference.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1073.png
553,"A jazz band of raccoons performs in a moonlit alley, instruments gleaming.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/553.png
250,Three floating islands above one waterfall in a valley.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/250.png
448,A library with no books on the shelves.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/448.png
1005,"Two deers with glittering necklaces, gracefully walk through a misty forest.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1005.png
370,"Two birds soar high above the clouds, while another glides low over the water.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/370.png
1582,"A duo of laptops rests on the desk, the old one open to a bustling social media feed while the other displays a serene nature wallpaper.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1582.png
44,A colorful mural of a bird adorning a city alley.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/44.png
1360,A cat doesn't curl up on the jacket.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1360.png
1291,no camera in the photographer's hands.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1291.png
203,a person without a hat pushes a person with a hat sitting in a box.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/203.png
1421,A pair of wireless headphones are placed on the table.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1421.png
1320,A pet shop with no tiny hamsters running wheels.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1320.png
413,Leaves falling on every car in the autumn.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/413.png
180,"A bird chirping melodiously on the right, with another listening intently on the left.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/180.png
1504,A person in a greasy jumpsuit explaining car repair to a curious person in a crisp white polo.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1504.png
410,Orange juice and toast on every breakfast table.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/410.png
859,"Four pairs of shoes at the door, each of a different style.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/859.png
1563,"An angrier frog sits on the steps, looking at a frog that is jumping up.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1563.png
549,A fox in a detective's outfit sniffs for clues in a misty forest.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/549.png
1555,A small child on a skateboard has messier hair than the person next to him.,simple,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1555.png
822,"A girl with earrings, with her hands in her pockets, stands between two girls with handbags in their hands.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/822.png
185,"A tailless, not black, cat is sitting.",negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/185.png
1514,Two boys with no shoes lifting a boy with shoes on.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1514.png
112,A workspace with more computers than computer mice.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/112.png
1477,Two smiling kittens look at a kitten with no smile on his face.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/1477.png
876,A Bengal tiger in the shade looks stronger than another Bengal tiger not in the shade.,negation,/content/drive/MyDrive/VQAScore_Project/data/generated_images/876.png
532,A goldfish conducting a symphony orchestra with a choir of bubbles in an underwater concert hall.,compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/532.png
577,"a leather-bound diary open to a blank page, with an antique quill and inkwell set beside it.",compositional,/content/drive/MyDrive/VQAScore_Project/data/generated_images/577.png
